networkType,trainAcc,trainTime (s),testAcc,layers,epochs,activations,optim,learning_rate,reg_param,dropout_prob,normTech,misc
simpleNN,0.9424791666666666,19.33228500000041,0.9359,200,50,tanh,sgd,0.013907966433808233,0,0.06908023511788142,nan,nan
simpleNN,0.9225,201.30682799999977,0.9232,200,50,tanh,adadelta,0.01085991287663837,0,0.15520929327475563,nan,nan
simpleNN,0.9737916666666667,61.04538700000012,0.9612,200,50,tanh,adagrad,0.02967518524939472,0,0.3564378871322447,nan,nan
simpleNN,0.9532291666666667,21.134256000000278,0.9449,500,50,sigmoid,sgd,0.012579908992766543,0,0.45252975833049575,nan,nan
simpleNN,0.9310416666666667,245.22829999999976,0.9317,500,50,sigmoid,adadelta,0.04844354254805798,0,0.10576848356591406,nan,nan
simpleNN,0.9924583333333333,83.00563600000078,0.9775,500,50,sigmoid,adagrad,0.038846635473848125,0,0.26976663387242983,nan,nan
simpleNN,0.9455208333333334,17.786103000000367,0.9367,500,50,relu,sgd,0.01717726392433425,0,0.11860003064912789,nan,nan
simpleNN,0.9816458333333333,247.25658899999962,0.9709,500,50,relu,adadelta,0.04546684321169832,0,0.1294586004348673,nan,nan
simpleNN,0.9968541666666667,60.324101999999584,0.9788,500,50,relu,adagrad,0.044943380320953755,0,0.18909459264234602,nan,nan
simpleNN,0.9303125,18.489638999999443,0.9274,500,50,tanh,sgd,0.009964460262043884,0,0.2642714985021137,nan,nan
simpleNN,0.9328333333333333,142.25499000000036,0.9312,500,50,tanh,adadelta,0.049765918189986304,0,0.43253049552149625,nan,nan
simpleNN,0.9924166666666666,70.77325100000053,0.9735,500,50,tanh,adagrad,0.03264543128175802,0,0.20673736544797916,nan,nan
simpleCNN,0.9858125,41.673621,0.9802,nan,50,prelu,rmsprop,0.003116704142995985,0,0.5559519906886558,nan,nan
simpleCNN,0.9820833333333333,417.5851139999999,0.9798,nan,50,prelu,adadelta,0.010059716392771194,0,0.05403044061302784,nan,nan
simpleCNN,0.9918958333333333,127.39268100000004,0.986,nan,50,prelu,adagrad,0.005029553101854687,0,0.1611620085069388,nan,nan
simpleCNN,0.994375,65.08461899999998,0.9837,nan,50,relu,rmsprop,0.009270372136268783,0,0.03789402093272474,nan,nan
simpleCNN,0.9821875,366.35935500000005,0.98,nan,50,relu,adadelta,0.010895033662315368,0,0.21242927027550662,nan,nan
simpleCNN,0.991625,128.45379000000003,0.9862,nan,50,relu,adagrad,0.00507844566050672,0,0.2133052595057478,nan,nan
simpleCNN,0.9804583333333333,38.67363099999966,0.9781,nan,50,tanh,rmsprop,0.0037068682021205255,0,0.44339634420746776,nan,nan
simpleCNN,0.9759166666666667,370.8009539999998,0.9748,nan,50,tanh,adadelta,0.013951550012444155,0,0.47481806825567874,nan,nan
simpleCNN,0.9870833333333333,159.142339,0.9823,nan,50,tanh,adagrad,0.004153097464621249,0,0.13249221258033286,nan,nan
